1,fb0,3.95867,1.23955,1.95142
1,fb1,4.06718,1.97255,1.94919
1,fb2,3.68993,1.38321,1.66998
2,fb0,3.95867,1.23955,1.95142
2,fb1,4.06718,1.97255,1.94919
2,fb2,3.68495,1.37537,1.66578
3,fb0,3.95867,1.23955,1.95142
3,fb1,4.06718,1.97255,1.94919
3,fb2,3.67853,1.3671,1.66016
4,fb0,3.95867,1.23955,1.95142
4,fb1,4.06718,1.97255,1.94919
4,fb2,3.67126,1.35956,1.65361
5,fb0,3.95867,1.23955,1.95142
5,fb1,4.06718,1.97255,1.94919
5,fb2,3.6633,1.35277,1.64628
6,fb0,3.95867,1.23955,1.95142
6,fb1,4.06718,1.97255,1.94919
6,fb2,3.65482,1.3467,1.63834
7,fb0,3.95867,1.23955,1.95142
7,fb1,4.06718,1.97255,1.94919
7,fb2,3.64592,1.34132,1.62991
8,fb0,3.95867,1.23955,1.95142
8,fb1,4.06718,1.97255,1.94919
8,fb2,3.63671,1.33659,1.6211
9,fb0,3.95867,1.23955,1.95142
9,fb1,4.06718,1.97255,1.94919
9,fb2,3.62727,1.33245,1.612
10,fb0,3.95837,1.23264,1.95153
10,fb1,4.06718,1.97255,1.94919
10,fb2,3.61765,1.32885,1.60267
11,fb0,3.95866,1.225,1.95226
11,fb1,4.06718,1.97255,1.94919
11,fb2,3.6079,1.32574,1.59317
12,fb0,3.95956,1.21744,1.95358
12,fb1,4.06718,1.97255,1.94919
12,fb2,3.59806,1.32309,1.58353
13,fb0,3.96102,1.20999,1.95545
13,fb1,4.06718,1.97255,1.94919
13,fb2,3.58816,1.32084,1.57378
14,fb0,3.96299,1.20268,1.9578
14,fb1,4.06718,1.97255,1.94919
14,fb2,3.57821,1.31899,1.56396
15,fb0,3.96542,1.19553,1.9606
15,fb1,4.06718,1.97255,1.94919
15,fb2,3.56822,1.31749,1.55407
16,fb0,3.96828,1.18854,1.9638
16,fb1,4.06718,1.97255,1.94919
16,fb2,3.55823,1.31633,1.54414
17,fb0,3.97152,1.18174,1.96736
17,fb1,4.06718,1.97255,1.94919
17,fb2,3.54823,1.31547,1.53418
18,fb0,3.97511,1.17511,1.97125
18,fb1,4.06718,1.97255,1.94919
18,fb2,3.53823,1.31489,1.52419
19,fb0,3.97902,1.16866,1.97545
19,fb1,4.06528,1.97428,1.9468
19,fb2,3.52825,1.31457,1.5142
20,fb0,3.98321,1.16239,1.9799
20,fb1,4.06299,1.97615,1.94399
20,fb2,3.51829,1.3145,1.5042
21,fb0,3.98766,1.15628,1.9846
21,fb1,4.06056,1.97798,1.94102
21,fb2,3.50834,1.31465,1.4942
22,fb0,3.99233,1.15035,1.9895
22,fb1,4.05797,1.97977,1.93791
22,fb2,3.49842,1.31502,1.48421
23,fb0,3.99721,1.14457,1.99459
23,fb1,4.05524,1.98149,1.93467
23,fb2,3.48853,1.31559,1.47422
24,fb0,4.00227,1.13894,1.99986
24,fb1,4.05237,1.98314,1.9313
24,fb2,3.47867,1.31634,1.46425
25,fb0,4.0075,1.13347,2.00527
25,fb1,4.04936,1.98471,1.92781
25,fb2,3.46884,1.31728,1.4543
26,fb0,4.01287,1.12813,2.01083
26,fb1,4.04623,1.98619,1.92421
26,fb2,3.45904,1.31839,1.44436
27,fb0,4.01839,1.12292,2.01651
27,fb1,4.04298,1.98757,1.92051
27,fb2,3.44962,1.31963,1.43478
28,fb0,4.02402,1.11783,2.0223
28,fb1,4.03962,1.98884,1.91672
28,fb2,3.44167,1.32071,1.42669
29,fb0,4.02944,1.11315,2.02785
29,fb1,4.03616,1.99001,1.91286
29,fb2,3.43495,1.32162,1.41987
30,fb0,4.03366,1.10962,2.03217
30,fb1,4.03261,1.99107,1.90893
30,fb2,3.42917,1.3224,1.41398
31,fb0,4.0369,1.10698,2.03548
31,fb1,4.029,1.99202,1.90496
31,fb2,3.42406,1.32309,1.40878
32,fb0,4.03941,1.10494,2.03805
32,fb1,4.02532,1.99286,1.90095
32,fb2,3.41943,1.32372,1.40407
33,fb0,4.04138,1.10334,2.04005
33,fb1,4.02159,1.99358,1.89692
33,fb2,3.41517,1.3243,1.39974
34,fb0,4.04292,1.1021,2.04163
34,fb1,4.01781,1.9942,1.89286
34,fb2,3.4112,1.32483,1.3957
35,fb0,4.04413,1.10111,2.04287
35,fb1,4.01398,1.99471,1.88878
35,fb2,3.40747,1.32534,1.3919
36,fb0,4.0451,1.10032,2.04386
36,fb1,4.01013,1.99512,1.8847
36,fb2,3.40394,1.32582,1.38831
37,fb0,4.04589,1.09967,2.04467
37,fb1,4.00624,1.99544,1.88061
37,fb2,3.40057,1.32628,1.38488
38,fb0,4.04659,1.09909,2.04537
38,fb1,4.00234,1.99565,1.87651
38,fb2,3.39735,1.32671,1.3816
39,fb0,4.04725,1.09853,2.04605
39,fb1,3.99841,1.99578,1.87243
39,fb2,3.39426,1.32713,1.37846
40,fb0,4.04792,1.09795,2.04674
40,fb1,3.99447,1.99582,1.86835
40,fb2,3.39128,1.32753,1.37543
